time_ms,T_IR_Pd0um,T_IR_Pd10um,T_IR_Pd20um,T_IR_Pd40um,T_IR_Pd60um,T_IR_Pd100um
26.7535,119.7096,119.7218,119.7334,119.7708,119.8223,119.8830
27.0541,119.6682,119.6802,119.6922,119.7300,119.7818,119.8438
27.3547,119.6268,119.6392,119.6511,119.6895,119.7417,119.8053
27.6553,119.5859,119.5983,119.6105,119.6490,119.7018,119.7670
27.9559,119.5450,119.5577,119.5702,119.6090,119.6624,119.7289
28.2565,119.5047,119.5174,119.5299,119.5691,119.6228,119.6908
28.5571,119.4644,119.4774,119.4901,119.5297,119.5839,119.6534
28.8577,119.4245,119.4377,119.4505,119.4903,119.5450,119.6161
29.1583,119.3850,119.3981,119.4113,119.4515,119.5067,119.5788
29.4589,119.3456,119.3591,119.3721,119.4128,119.4682,119.5420
29.7595,119.3066,119.3201,119.3334,119.3743,119.4304,119.5056
30.0601,119.2678,119.2815,119.2950,119.3362,119.3927,119.4694
30.3607,119.2293,119.2431,119.2567,119.2983,119.3552,119.4331
30.6613,119.1912,119.2050,119.2189,119.2608,119.3180,119.3974
30.9619,119.1532,119.1673,119.1812,119.2232,119.2812,119.3619
31.2625,119.1157,119.1297,119.1439,119.1864,119.2447,119.3268
31.5631,119.0783,119.0926,119.1067,119.1496,119.2080,119.2914
31.8637,119.0412,119.0556,119.0700,119.1131,119.1722,119.2569
32.1643,119.0044,119.0189,119.0335,119.0767,119.1363,119.2224
32.4649,118.9679,118.9825,118.9971,119.0409,119.1009,119.1882
32.7655,118.9316,118.9464,118.9613,119.0053,119.0654,119.1539
33.0661,118.8955,118.9106,118.9255,118.9697,119.0306,119.1205
33.3667,118.8600,118.8749,118.8901,118.9347,118.9958,119.0871
33.6673,118.8245,118.8397,118.8549,118.8998,118.9612,119.0537
33.9679,118.7892,118.8047,118.8201,118.8652,118.9269,119.0205
34.2685,118.7544,118.7698,118.7854,118.8307,118.8931,118.9882
34.5691,118.7197,118.7353,118.7509,118.7968,118.8594,118.9557
34.8697,118.6854,118.7011,118.7170,118.7629,118.8257,118.9233
35.1703,118.6512,118.6671,118.6831,118.7292,118.7928,118.8911
35.4709,118.6175,118.6333,118.6495,118.6960,118.7598,118.8598
35.7715,118.5838,118.5999,118.6160,118.6630,118.7271,118.8283
36.0721,118.5505,118.5667,118.5831,118.6302,118.6945,118.7967
36.3727,118.5175,118.5336,118.5503,118.5974,118.6626,118.7658
36.6733,118.4846,118.5011,118.5176,118.5653,118.6306,118.7353
36.9739,118.4521,118.4686,118.4854,118.5333,118.5988,118.7047
37.2745,118.4198,118.4364,118.4533,118.5014,118.5674,118.6740
37.5752,118.3879,118.4044,118.4214,118.4698,118.5363,118.6443
37.8758,118.3561,118.3729,118.3898,118.4386,118.5054,118.6146
38.1764,118.3243,118.3414,118.3586,118.4075,118.4744,118.5849
38.4770,118.2933,118.3101,118.3276,118.3765,118.4443,118.5552
38.7776,118.2621,118.2793,118.2966,118.3462,118.4140,118.5265
39.0782,118.2313,118.2486,118.2662,118.3158,118.3840,118.4977
39.3788,118.2008,118.2181,118.2359,118.2857,118.3540,118.4689
39.6794,118.1704,118.1878,118.2057,118.2557,118.3248,118.4400
39.9800,118.1404,118.1580,118.1757,118.2263,118.2954,118.4123
40.2806,118.1103,118.1282,118.1463,118.1969,118.2662,118.3843
40.5812,118.0809,118.0985,118.1169,118.1675,118.2374,118.3562
40.8818,118.0514,118.0694,118.0876,118.1388,118.2090,118.3285
41.1824,118.0222,118.0403,118.0588,118.1101,118.1806,118.3017
41.4830,117.9934,118.0115,118.0301,118.0816,118.1521,118.2745
41.7836,117.9647,117.9829,118.0016,118.0532,118.1245,118.2472
42.0842,117.9363,117.9546,117.9732,118.0254,118.0967,118.2205
42.3848,117.9080,117.9265,117.9455,117.9976,118.0692,118.1944
42.6854,117.8801,117.8984,117.9176,117.9698,118.0417,118.1681
42.9860,117.8523,117.8710,117.8899,117.9425,118.0151,118.1414
43.2866,117.8246,117.8434,117.8627,117.9155,117.9882,118.1158
43.5872,117.7975,117.8160,117.8355,117.8885,117.9613,118.0906
43.8878,117.7702,117.7891,117.8085,117.8616,117.9349,118.0649
44.1884,117.7433,117.7623,117.7818,117.8353,117.9089,118.0392
44.4890,117.7166,117.7357,117.7555,117.8090,117.8828,118.0145
44.7896,117.6902,117.7091,117.7292,117.7827,117.8567,117.9898
45.0902,117.6638,117.6832,117.7029,117.7568,117.8316,117.9651
45.3908,117.6377,117.6571,117.6772,117.7314,117.8061,117.9401
45.6914,117.6120,117.6312,117.6516,117.7059,117.7809,117.9164
45.9920,117.5862,117.6058,117.6261,117.6804,117.7557,117.8924
46.2926,117.5607,117.5805,117.6007,117.6556,117.7313,117.8682
46.5932,117.5356,117.5553,117.5759,117.6307,117.7066,117.8441
46.8938,117.5106,117.5301,117.5509,117.6059,117.6819,117.8213
47.1944,117.4857,117.5057,117.5261,117.5813,117.6579,117.7978
47.4950,117.4609,117.4810,117.5018,117.5574,117.6341,117.7744
47.7956,117.4368,117.4565,117.4776,117.5332,117.6103,117.7513
48.0962,117.4124,117.4325,117.4534,117.5090,117.5862,117.7291
48.3968,117.3883,117.4086,117.4294,117.4855,117.5632,117.7064
48.6974,117.3646,117.3847,117.4060,117.4622,117.5399,117.6835
48.9980,117.3409,117.3610,117.3824,117.4388,117.5166,117.6614
49.2986,117.3174,117.3378,117.3589,117.4154,117.4936,117.6400
49.5992,117.2940,117.3145,117.3360,117.3928,117.4714,117.6178
49.8998,117.2711,117.2913,117.3131,117.3700,117.4487,117.5955
50.2004,117.2480,117.2687,117.2902,117.3472,117.4260,117.5743
50.5010,117.2252,117.2459,117.2675,117.3248,117.4041,117.5534
50.8016,117.2029,117.2234,117.2455,117.3028,117.3823,117.5320
51.1022,117.1804,117.2011,117.2231,117.2807,117.3604,117.5103
51.4028,117.1582,117.1792,117.2009,117.2585,117.3385,117.4901
51.7034,117.1361,117.1571,117.1792,117.2372,117.3174,117.4697
52.0040,117.1145,117.1352,117.1576,117.2156,117.2960,117.4488
52.3046,117.0926,117.1138,117.1360,117.1941,117.2748,117.4280
52.6052,117.0711,117.0923,117.1145,117.1729,117.2537,117.4084
52.9058,117.0500,117.0709,117.0936,117.1522,117.2333,117.3885
53.2064,117.0287,117.0499,117.0725,117.1312,117.2126,117.3683
53.5070,117.0077,117.0292,117.0515,117.1103,117.1919,117.3482
53.8076,116.9869,117.0083,117.0310,117.0900,117.1718,117.3294
54.1082,116.9664,116.9876,117.0105,117.0697,117.1518,117.3099
54.4088,116.9458,116.9675,116.9902,117.0494,117.1318,117.2903
54.7094,116.9254,116.9471,116.9699,117.0292,117.1117,117.2712
55.0100,116.9055,116.9270,116.9502,117.0097,117.0924,117.2527
55.3106,116.8853,116.9070,116.9302,116.9898,117.0729,117.2338
55.6112,116.8655,116.8874,116.9104,116.9701,117.0534,117.2148
55.9118,116.8459,116.8677,116.8910,116.9508,117.0341,117.1964
56.2124,116.8263,116.8481,116.8717,116.9317,117.0155,117.1785
56.5130,116.8070,116.8291,116.8524,116.9126,116.9965,117.1600
56.8136,116.7877,116.8098,116.8332,116.8934,116.9775,117.1416
57.1142,116.7688,116.7908,116.8146,116.8750,116.9591,117.1241
57.4148,116.7498,116.7720,116.7957,116.8563,116.9408,117.1065
57.7154,116.7311,116.7534,116.7770,116.8376,116.9225,117.0887
58.0160,116.7127,116.7348,116.7587,116.8194,116.9041,117.0709
58.3166,116.6941,116.7163,116.7403,116.8013,116.8865,117.0540
58.6172,116.6758,116.6983,116.7222,116.7833,116.8685,117.0369
58.9178,116.6576,116.6801,116.7041,116.7652,116.8507,117.0197
59.2184,116.6397,116.6622,116.6865,116.7477,116.8331,117.0024
59.5190,116.6218,116.6444,116.6686,116.7300,116.8160,116.9862
59.8196,116.6040,116.6267,116.6510,116.7125,116.7986,116.9694
60.1202,116.5866,116.6092,116.6337,116.6951,116.7813,116.9527
60.4208,116.5691,116.5918,116.6163,116.6782,116.7645,116.9362
60.7214,116.5518,116.5748,116.5992,116.6609,116.7477,116.9205
61.0220,116.5347,116.5575,116.5820,116.6440,116.7309,116.9041
61.3226,116.5178,116.5405,116.5654,116.6273,116.7141,116.8880
61.6232,116.5009,116.5238,116.5485,116.6107,116.6980,116.8720
61.9238,116.4840,116.5071,116.5318,116.5941,116.6815,116.8568
62.2244,116.4676,116.4906,116.5155,116.5776,116.6653,116.8409
62.5251,116.4509,116.4741,116.4991,116.5617,116.6491,116.8251
62.8257,116.4347,116.4580,116.4829,116.5455,116.6335,116.8100
63.1263,116.4185,116.4417,116.4667,116.5294,116.6175,116.7950
63.4269,116.4024,116.4257,116.4510,116.5136,116.6017,116.7797
63.7275,116.3865,116.4098,116.4350,116.4980,116.5864,116.7644
64.0281,116.3705,116.3941,116.4192,116.4823,116.5709,116.7499
64.3287,116.3550,116.3784,116.4038,116.4668,116.5556,116.7351
64.6293,116.3393,116.3628,116.3883,116.4517,116.5402,116.7204
64.9299,116.3239,116.3476,116.3730,116.4363,116.5255,116.7056
65.2305,116.3087,116.3322,116.3577,116.4212,116.5104,116.6916
65.5311,116.2934,116.3171,116.3428,116.4062,116.4955,116.6773
65.8317,116.2784,116.3021,116.3277,116.3915,116.4808,116.6630
66.1323,116.2634,116.2872,116.3129,116.3767,116.4664,116.6487
66.4329,116.2487,116.2724,116.2982,116.3620,116.4518,116.6352
66.7335,116.2338,116.2577,116.2836,116.3477,116.4374,116.6211
67.0341,116.2192,116.2434,116.2691,116.3332,116.4233,116.6074
67.3347,116.2049,116.2288,116.2547,116.3189,116.4091,116.5936
67.6353,116.1904,116.2145,116.2407,116.3047,116.3952,116.5805
67.9359,116.1763,116.2004,116.2264,116.2908,116.3811,116.5669
68.2365,116.1621,116.1862,116.2124,116.2768,116.3676,116.5536
68.5371,116.1482,116.1723,116.1986,116.2629,116.3538,116.5404
68.8377,116.1343,116.1584,116.1847,116.2493,116.3402,116.5276
69.1383,116.1205,116.1448,116.1711,116.2356,116.3267,116.5144
69.4389,116.1069,116.1310,116.1574,116.2222,116.3135,116.5015
69.7395,116.0933,116.1176,116.1442,116.2087,116.3002,116.4888
70.0401,116.0798,116.1042,116.1307,116.1956,116.2870,116.4763
70.3407,116.0665,116.0908,116.1174,116.1823,116.2741,116.4635
70.6413,116.0533,116.0777,116.1043,116.1693,116.2611,116.4510
70.9419,116.0401,116.0646,116.0913,116.1563,116.2483,116.4388
71.2425,116.0271,116.0517,116.0784,116.1435,116.2355,116.4265
71.5431,116.0142,116.0388,116.0655,116.1308,116.2231,116.4143
71.8437,116.0013,116.0260,116.0529,116.1180,116.2103,116.4021
72.1443,115.9887,116.0134,116.0402,116.1057,116.1981,116.3904
72.4449,115.9761,116.0007,116.0277,116.0931,116.1857,116.3783
72.7455,115.9635,115.9883,116.0154,116.0808,116.1736,116.3666
73.0461,115.9512,115.9759,116.0030,116.0685,116.1614,116.3548
73.3467,115.9388,115.9637,115.9908,116.0565,116.1494,116.3436
73.6473,115.9267,115.9515,115.9787,116.0443,116.1376,116.3318
73.9479,115.9144,115.9394,115.9668,116.0324,116.1256,116.3205
74.2485,115.9025,115.9275,115.9548,116.0206,116.1140,116.3092
74.5491,115.8907,115.9156,115.9430,116.0088,116.1023,116.2981
74.8497,115.8787,115.9039,115.9312,115.9972,116.0909,116.2868
75.1503,115.8672,115.8922,115.9196,115.9856,116.0792,116.2759
75.4509,115.8555,115.8806,115.9081,115.9742,116.0680,116.2650
75.7515,115.8440,115.8691,115.8966,115.9628,116.0567,116.2542
76.0521,115.8326,115.8577,115.8853,115.9515,116.0456,116.2431
76.3527,115.8212,115.8466,115.8740,115.9404,116.0344,116.2326
76.6533,115.8101,115.8351,115.8629,115.9293,116.0235,116.2221
76.9539,115.7987,115.8242,115.8518,115.9183,116.0127,116.2115
77.2545,115.7878,115.8131,115.8408,115.9073,116.0017,116.2010
77.5551,115.7768,115.8021,115.8299,115.8966,115.9911,116.1908
77.8557,115.7659,115.7913,115.8191,115.8857,115.9803,116.1807
78.1563,115.7551,115.7805,115.8084,115.8751,115.9700,116.1702
78.4569,115.7443,115.7700,115.7976,115.8645,115.9593,116.1602
78.7575,115.7338,115.7592,115.7872,115.8540,115.9490,116.1502
79.0581,115.7231,115.7488,115.7767,115.8436,115.9387,116.1405
79.3587,115.7128,115.7383,115.7663,115.8333,115.9285,116.1303
79.6593,115.7024,115.7279,115.7561,115.8232,115.9183,116.1206
79.9599,115.6920,115.7178,115.7458,115.8128,115.9083,116.1109
80.2605,115.6820,115.7075,115.7358,115.8029,115.8984,116.1015
80.5611,115.6718,115.6975,115.7255,115.7929,115.8883,116.0916
80.8617,115.6618,115.6874,115.7158,115.7831,115.8786,116.0823
81.1623,115.6517,115.6776,115.7058,115.7731,115.8688,116.0730
81.4629,115.6419,115.6678,115.6960,115.7635,115.8592,116.0637
81.7635,115.6322,115.6579,115.6863,115.7539,115.8494,116.0541
82.0641,115.6223,115.6483,115.6767,115.7442,115.8401,116.0453
82.3647,115.6128,115.6387,115.6671,115.7347,115.8307,116.0362
82.6653,115.6031,115.6291,115.6575,115.7253,115.8212,116.0271
82.9659,115.5937,115.6196,115.6483,115.7160,115.8119,116.0180
83.2665,115.5842,115.6104,115.6389,115.7065,115.8029,116.0094
83.5671,115.5749,115.6010,115.6296,115.6975,115.7938,116.0006
83.8677,115.5657,115.5917,115.6204,115.6883,115.7845,115.9917
84.1683,115.5564,115.5827,115.6113,115.6792,115.7756,115.9829
84.4689,115.5475,115.5735,115.6023,115.6702,115.7667,115.9747
84.7695,115.5384,115.5646,115.5932,115.6614,115.7580,115.9661
85.0701,115.5293,115.5555,115.5844,115.6526,115.7489,115.9573
85.3707,115.5206,115.5468,115.5756,115.6435,115.7405,115.9491
85.6713,115.5117,115.5380,115.5667,115.6351,115.7319,115.9409
85.9719,115.5030,115.5291,115.5581,115.6264,115.7232,115.9327
86.2725,115.4942,115.5207,115.5496,115.6179,115.7147,115.9241
86.5731,115.4858,115.5120,115.5410,115.6093,115.7064,115.9162
86.8737,115.4772,115.5035,115.5324,115.6010,115.6980,115.9083
87.1743,115.4686,115.4951,115.5241,115.5927,115.6895,115.9003
87.4749,115.4604,115.4868,115.5158,115.5842,115.6815,115.8919
87.7756,115.4520,115.4785,115.5074,115.5762,115.6734,115.8845
