time_ms,alpha_i_Pd0um,alpha_i_Pd10um,alpha_i_Pd20um,alpha_i_Pd40um,alpha_i_Pd60um,alpha_i_Pd100um
141.8838,25.1462,26.1017,27.1089,29.2918,31.6550,37.1215
142.1844,25.1328,26.1363,27.1188,29.3082,31.7264,37.1129
142.4850,25.1539,26.1159,27.1568,29.3696,31.7051,37.1434
142.7856,25.1780,26.1304,27.1728,29.3533,31.7057,37.1897
143.0862,25.1804,26.1584,27.1512,29.3280,31.7089,37.1544
143.3868,25.1821,26.1819,27.1630,29.4004,31.7758,37.1674
143.6874,25.2056,26.1522,27.2332,29.4011,31.7515,37.1968
143.9880,25.2387,26.1834,27.1960,29.3816,31.7369,37.2287
144.2886,25.2215,26.2314,27.1968,29.3871,31.7926,37.2051
144.5892,25.2297,26.1922,27.2450,29.4606,31.8041,37.1911
144.8898,25.2644,26.2093,27.2530,29.4387,31.7896,37.2661
145.1904,25.2506,26.2481,27.2222,29.4137,31.7883,37.2649
145.4910,25.2692,26.2555,27.2549,29.4715,31.8527,37.2655
145.7916,25.2911,26.2299,27.3133,29.4918,31.8498,37.2387
146.0922,25.2980,26.2654,27.2717,29.4598,31.8367,37.3360
146.3928,25.2960,26.3058,27.2837,29.4761,31.8548,37.2931
146.6934,25.3119,26.2728,27.3430,29.5592,31.9173,37.2914
146.9940,25.3497,26.2976,27.3402,29.5195,31.8959,37.3012
147.2946,25.3230,26.3290,27.3126,29.4985,31.8668,37.3687
147.5952,25.3497,26.3353,27.3388,29.5459,31.9283,37.3309
147.8958,25.3718,26.3257,27.4063,29.6009,31.9511,37.3419
148.1964,25.3788,26.3579,27.3512,29.5485,31.9327,37.3437
148.4970,25.3842,26.3933,27.3661,29.5494,31.9275,37.4266
148.7976,25.3992,26.3600,27.4139,29.6341,31.9966,37.3680
149.0982,25.4352,26.3741,27.4300,29.6144,31.9897,37.3714
149.3988,25.4048,26.4314,27.3857,29.5940,31.9688,37.4041
149.6994,25.4423,26.4183,27.4306,29.6284,31.9947,37.4634
150.0000,25.4550,26.3941,27.4873,29.6923,32.0502,37.4141
